firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
ALDI,2021-03-05, Store Assistant,"Former Employee, more than 1 year","Liverpool, England, England",4,1.0,1.0,5.0,3.0,2.0,2.0,v,r,v,"Good hourly rate, but unsociable hours","• Hourly rate above minimum wage
• Great team atmosphere","• Unsociable hours
• All the Store Assistant in my shop were on 25 hour/week contract and it was sometimes very difficult to get more hours (unless you were willing to go to the store at 7am on your day off because someone texted the manager at 6 to call sick)
• You will be timed at the till and on the shop floor. Nobody cares if you are having a bad day, you will be marked down!"
ALDI,2020-10-08, Store Assistant,"Former Employee, less than 1 year","Cockermouth, England, England",5,4.0,3.0,4.0,4.0,4.0,4.0,v,o,o,good overall,"good pay
good manager 
opportunity to progress 
Hard working","Management team (assistant managers) lets them down 
Need better staff moral"
ALDI,2021-02-01, Store Assistant,"Current Employee, more than 5 years","Cardiff, Wales, Wales",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Vile treatment,None they have left me desolate with no pay being off with mental health relying on food banks,Plenty ..better off working for Asda or anywhere
ALDI,2021-01-01, Shop Assistant,"Former Employee, less than 1 year","Coventry, England, England",2,2.0,3.0,3.0,3.0,3.0,2.0,x,r,r,Stressful,Good pay compared to other shop assistant roles,"Always understaffed, always over-worked, very stressful. Managers are under a lot of pressure, you can never work fast enough for them.
Higher pay is not worth the stress"
ALDI,2021-02-12, Store Assistant,Current Employee,"Dagenham, England, England",5,5.0,4.0,3.0,5.0,4.0,5.0,v,o,o,Great,"Brilliant to work for, fast pace",No specific cons of the job
ALDI,2021-04-02, Store Assistant,"Former Employee, more than 5 years","Manchester, England, England",2,2.0,1.0,1.0,2.0,1.0,1.0,x,x,x,Not bad for short period,"Decent pay
Good stop gap job","No real care for staff, you are just a number."
ALDI,2021-04-24, Deputy Store Manager,"Former Employee, less than 1 year","Coventry, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,r,Worse job ever,"Getting to go home and finally leaving
If you want to loose weight work there","No safety wear issued your dragging out pallets with no safety boots, no googles when using bailer to protect eyes, no proper thick freezer gloves so would get freezer burn on your hands there was a shortage of gloves to wear when putting out stock so I was using gloves from previous employment some staff had paid for their own. Long hours you would be expected to stay over to get stock worked if the day was busy could be 12.30pm or even 4 and 5am then still be expected to do your shift the following day. Heavy work expected to work pallets with unrealistic times a bread pallet would have to be worked is less than 9 mins and 15 mins for the heavier pallets, as a manager you are constantly running around doing the heavy work load while staff are on the tills, micro managed the worse Iv ever experienced assistant store manager constantly on your back, sitting in the office watching staff on cctv then dragging them out the break room on the dot of their break finishing, standing at the tills watching how long it takes for staff to get off the till once’s they have finished with customers, no duty of care to staff, no return to work being done, if you injury yourself your doing your own first aid and no ones recording accidents.
You can’t plan your life as rot-as aren’t done in advance.
No safe and legal standards managers giving keys to under age staff to authorise alcohol sales without then having to come and do it.
Some staff are paid more than the deputy store managers too"
ALDI,2021-04-07, Store Assistant,"Current Employee, less than 1 year","Wirral, England, England",4,4.0,4.0,5.0,3.0,3.0,4.0,o,r,o,Keeps you busy,"-Decent Pay
-Always something to do so goes fast",- Can get boring during long shifts
ALDI,2020-10-10, Sales Associate,"Former Employee, more than 1 year","Dumfries, Scotland, Scotland",4,3.0,4.0,3.0,3.0,2.0,4.0,v,o,v,Good place to work,Great place to work. Nice team of staff and our manager and assistant managers were nice too.,"5am starts. Hard work and very pressurised to meet deadlines on everything you do. Theres no slacking at aldi. Some weeks you could be doing 5am starts, some weeks 10pm finishes so its was a bit rubbish for work life balance."
ALDI,2021-02-05, HGV DriverClass1,"Current Employee, more than 3 years","Bathgate, Scotland, Scotland",5,3.0,4.0,4.0,1.0,4.0,5.0,v,o,v,Good job,"Management treat you well, looked after. Good clean work with a tidy fleet","A lot of weekends, but you know that when you start"
